,Name,Manufacturer:,Cores:,Memory:,Processor:,Interconnect:,Linpack Performance (Rmax),Theoretical Peak (Rpeak),Nmax,HPCG [TFlop/s],Power Measurement Level:,Operating System:,Compiler:,Math Library:,MPI:,Power:,Nhalf
0,"Tianhe-2A - TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000",NUDT,"4,981,760","2,277,376 GB",Intel Xeon E5-2692v2 12C 2.2GHz,TH Express-2,"61,444.5 TFlop/s","100,679 TFlop/s","9,773,000",False,1,Kylin Linux,icc,Intel MKL-11.0.0,MPICH2 with a customized GLEX channel,"18,482.00 kW",False
1,"Titan - Cray XK7, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x",Cray/HPE,"560,640","710,144 GB",Opteron 6274 16C 2.2GHz,Cray Gemini interconnect,"17,590 TFlop/s","27,112.5 TFlop/s",False,322.322,False,Cray Linux Environment,False,False,False,"8,209.00 kW",False
2,"Sequoia - BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",IBM,"1,572,864","65,536 GB",Power BQC 16C 1.6GHz,Custom Interconnect,"17,173.2 TFlop/s","20,132.7 TFlop/s",False,330.373,False,Linux,False,False,False,"7,890.00 kW",False
3,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect",Fujitsu,"705,024",0 GB,SPARC64 VIIIfx 8C 2GHz,Custom Interconnect,"10,510 TFlop/s","11,280.4 TFlop/s","11,870,208",602.736,False,Linux,False,False,False,"12,659.89 kW",False
4,"Mira - BlueGene/Q, Power BQC 16C 1.60GHz, Custom",IBM,"786,432","65,536 GB",Power BQC 16C 1.6GHz,Custom Interconnect,"8,586.61 TFlop/s","10,066.3 TFlop/s",False,167.049,False,Linux,False,False,False,"3,945.00 kW",False
5,"Piz Daint - Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",Cray/HPE,"387,872","365,056 GB",Xeon E5-2690v3 12C 2.6GHz,Aries interconnect,"21,230 TFlop/s","27,154.3 TFlop/s","3,743,232",496.978,3,Cray Linux Environment,False,False,False,False,False
6,"Stampede - PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P",Dell EMC,"522,080","204,800 GB",Xeon E5-2680 8C 2.7GHz,Infiniband FDR,"5,168.11 TFlop/s","9,598.21 TFlop/s",False,96.7848,False,Linux,False,False,False,"4,510.00 kW",False
7,"JUQUEEN - BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",IBM,"458,752","65,536 GB",Power BQC 16C 1.6GHz,Custom Interconnect,"5,008.86 TFlop/s","5,872.03 TFlop/s",False,95.476,False,Linux,False,False,False,"2,301.00 kW",False
8,"JUQUEEN - BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",IBM,"458,752","65,536 GB",Power BQC 16C 1.6GHz,Custom Interconnect,"5,008.86 TFlop/s","5,872.03 TFlop/s",False,95.476,False,Linux,False,False,False,"2,301.00 kW",False
9,"Vulcan - BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",IBM,"393,216","65,536 GB",Power BQC 16C 1.6GHz,Custom Interconnect,"4,293.31 TFlop/s","5,033.16 TFlop/s",False,80.894,False,Linux,False,False,False,"1,972.00 kW",False
10,"SuperMUC - iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR",IBM/Lenovo,"147,456",0 GB,Xeon E5-2680 8C 2.7GHz,Infiniband FDR,"2,897 TFlop/s","3,185.05 TFlop/s","5,201,920",83.3,False,Linux,False,False,False,"3,422.67 kW",False
11,"TSUBAME 2.5 - Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x",NEC/HPE,"76,032","76,032 GB",Xeon X5670 6C 2.93GHz,Infiniband QDR,"2,785 TFlop/s","5,735.69 TFlop/s","1,700,000",72.525,False,SUSE Linux Enterprise Server 11,,Intel MKL,OpenMPI 1.6.3,"1,398.61 kW",False
12,"Tianhe-1A - NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050",NUDT,"186,368",0 GB,Xeon X5670 6C 2.93GHz,Proprietary,"2,566 TFlop/s","4,701 TFlop/s","3,600,000",False,False,Linux,icc,,MPICH2 with a custom GLEX channel,"4,040.00 kW","1,000,000"
13,"cascade - Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",Atipa,"194,616","184,320 GB",Xeon E5-2670 8C 2.6GHz,Infiniband FDR,"2,539.13 TFlop/s","3,388.03 TFlop/s","4,032,000",False,False,Linux,False,False,False,"1,384.00 kW",False
14,"Pangea - SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR",HPE,"220,800",0 GB,Xeon E5-2680v3 12C 2.5GHz,Infiniband FDR,"5,283.11 TFlop/s","6,712.32 TFlop/s","4,919,040",162.692,1,SUSE Linux Enterprise Server 11,N/A,Intel MKL,SGI MPT,"4,150.00 kW",False
15,"Fermi - BlueGene/Q, Power BQC 16C 1.60GHz, Custom",IBM,"163,840","65,536 GB",Power BQC 16C 1.6GHz,Custom Interconnect,"1,788.88 TFlop/s","2,097.15 TFlop/s",False,False,False,Linux,False,False,False,821.88 kW,False
16,"Pleiades - SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR",HPE,"241,108","211,968 GB",Intel Xeon E5-2680v2  10C 2.8GHz,Infiniband FDR,"5,951.55 TFlop/s","7,107.15 TFlop/s","6,500,160",175.181,1,SUSE Linux Enterprise Server 11,Intel 2016 Parallel Studio Update 2,MKL 2017.0.0,SGI MPT 2.14,"4,407.00 kW",False
17,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",IBM,"62,944",0 GB,POWER7 8C 3.84GHz,Custom Interconnect,"1,587 TFlop/s","1,931.62 TFlop/s",False,False,False,Linux,False,False,False,"3,575.63 kW",False
18,"Spirit - SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",HPE,"73,584",0 GB,Xeon E5-2670 8C 2.6GHz,Infiniband FDR,"1,415.47 TFlop/s","1,530.55 TFlop/s","3,128,832",False,False,Redhat Enterprise Linux 6,False,False,False,"1,606.00 kW",False
19,"ARCHER - Cray XC30, Intel Xeon E5 v2 12C 2.700GHz, Aries interconnect ",Cray/HPE,"118,080",0 GB,Intel Xeon E5-2697v2 12C 2.7GHz,Aries interconnect,"1,642.54 TFlop/s","2,550.53 TFlop/s",False,80.792,False,Cray Linux Environment,False,False,False,"3,306.24 kW",False
20,"Curie thin nodes - Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",Atos,"77,184","72,576 GB",Xeon E5-2680 8C 2.7GHz,Infiniband QDR,"1,359 TFlop/s","1,667.17 TFlop/s","5,757,528",50.986,False,bullx SUperCOmputer Suite A.E.2.1,icc,Intel Math Kernel Library,Intel MPI,"2,132.00 kW",False
21,"Nebulae - Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050",Sugon,"120,640",0 GB,Xeon X5650 6C 2.66GHz,Infiniband QDR,"1,271 TFlop/s","2,984.3 TFlop/s","2,359,296",False,False,Linux,False,False,False,"2,580.00 kW",False
22,"Yellowstone - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",IBM,"72,288","74,624 GB",Xeon E5-2670 8C 2.6GHz,Infiniband FDR,"1,257.62 TFlop/s","1,503.59 TFlop/s",False,False,False,Linux,False,False,False,"1,436.72 kW",False
23,"Blue Joule - BlueGene/Q, Power BQC 16C 1.60GHz, Custom",IBM,"131,072","65,536 GB",Power BQC 16C 1.6GHz,Custom Interconnect,"1,431.1 TFlop/s","1,677.72 TFlop/s",False,False,False,Linux,False,False,False,657.00 kW,False
24,"Helios - Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",Atos,"70,560","72,576 GB",Xeon E5-2680 8C 2.7GHz,Infiniband QDR,"1,237 TFlop/s","1,524.1 TFlop/s","4,870,152",False,False,bullx SUperCOmputer Suite A.E.2.1,Intel Compiler: 12.1.1.256,Intel MKL v12,Intel MPI 4.0.3,"2,200.00 kW",False
25,"Garnet - Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect",Cray/HPE,"150,528","301,056 GB",Opteron 16C 2.5GHz,Cray Gemini interconnect,"1,167 TFlop/s","1,505.28 TFlop/s","5,685,504",False,False,Linux,False,False,False,"5,569.00 kW",False
26,"Cielo - Cray XE6, Opteron 6136 8C 2.40GHz, Custom",Cray/HPE,"142,272",0 GB,Opteron 6136 8C 2.4GHz,Cray Gemini interconnect,"1,110 TFlop/s","1,365.81 TFlop/s",False,False,False,Linux,False,False,False,"3,980.00 kW",False
27,"DiRAC - BlueGene/Q, Power BQC 16C 1.60GHz, Custom",IBM,"98,304","65,536 GB",Power BQC 16C 1.6GHz,Custom Interconnect,"1,073.33 TFlop/s","1,258.29 TFlop/s",False,False,False,Linux,False,False,False,493.12 kW,False
28,"Hopper - Cray XE6, Opteron 6172 12C 2.10GHz, Custom",Cray/HPE,"153,408",0 GB,Opteron 6172 12C 2.1GHz,Cray Gemini interconnect,"1,054 TFlop/s","1,288.63 TFlop/s","4,537,344",False,False,Linux,False,False,False,"2,910.00 kW",False
29,Tera-100 - Bull bullx super-node S6010/S6030,Atos,"138,368",0 GB,Xeon X7560 8C 2.26GHz,Infiniband QDR,"1,050 TFlop/s","1,254.55 TFlop/s","4,926,336",False,False,Linux,False,False,False,"4,590.00 kW",False
30,"Oakleaf-FX - PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect",Fujitsu,"76,800","12,288 GB",SPARC64 IXfx 16C 1.85GHz,Tofu interconnect,"1,043 TFlop/s","1,135.41 TFlop/s","4,058,880",False,False,Linux,Fujitsu Technical Computing Language C compiler,Fujitsu Technical Computing Language BLAS,Fujitsu Technical Computing Language MPI (Open MPI based),"1,176.80 kW",False
31,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband FDR",Lenovo/IBM,"65,320",0 GB,Intel Xeon E5-2680v2  10C 2.8GHz,Infiniband FDR,"1,283.31 TFlop/s","1,463.17 TFlop/s",False,61.474,False,Linux,False,False,False,"1,260.00 kW",False
32,"Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Fujitsu,"53,504","214,016 GB",Xeon E5-2670 8C 2.6GHz,Infiniband FDR,978.6 TFlop/s,"1,112.88 TFlop/s","3,290,496",False,False,Linux,Intel C &amp; Fortran 64 Compiler XE 2012,Fujitsu Tuned DGEMM,Intel MPI Library 4.0,"1,605.12 kW","561,792"
