,Name,Manufacturer:,Cores:,Memory:,Processor:,Interconnect:,Linpack Performance (Rmax),Theoretical Peak (Rpeak),Nmax,HPCG [TFlop/s],Power Measurement Level:,Operating System:,Compiler:,Math Library:,MPI:,Power:,Nhalf
0,"Jaguar - Cray XK6, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA 2090",Cray/HPE,"298,592","598,016 GB",Opteron 6274 16C 2.2GHz,Cray Gemini interconnect,"1,941 TFlop/s","2,627.61 TFlop/s","6,329,856",False,False,Cray Linux Environment,False,False,False,"5,142.00 kW",False
1,"Nebulae - Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050",Sugon,"120,640",0 GB,Xeon X5650 6C 2.66GHz,Infiniband QDR,"1,271 TFlop/s","2,984.3 TFlop/s","2,359,296",False,False,Linux,False,False,False,"2,580.00 kW",False
2,"Roadrunner - BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband",IBM,"122,400",0 GB,PowerXCell 8i 9C 3.2GHz,Infiniband,"1,042 TFlop/s","1,375.78 TFlop/s","2,249,343",False,False,Linux,False,False,False,"2,345.00 kW",False
3,Kraken XT5 - Cray XT5-HE Opteron 6-core 2.6 GHz,Cray/HPE,"98,928",0 GB,Opteron Six Core 6C 2.6GHz,Proprietary,831.7 TFlop/s,"1,028.85 TFlop/s",False,False,False,Linux,False,False,False,"3,090.00 kW",False
4,JUGENE - Blue Gene/P Solution,IBM,"294,912",0 GB,PowerPC 450 4C 850MHz,Proprietary,825.5 TFlop/s,"1,002.7 TFlop/s",False,False,False,CNK/SLES 9,False,False,False,"2,268.00 kW",False
5,"Pleiades - SGI Altix ICE 8200EX/8400EX, Xeon HT QC 3.0/Xeon Westmere 2.93 Ghz, Infiniband",HPE,"81,920",0 GB,Xeon E5450 4C 3GHz,Infiniband,772.7 TFlop/s,973.291 TFlop/s,"2,966,040",False,False,Linux,False,False,False,"3,096.00 kW",False
6,"Tianhe-1 - NUDT TH-1 Cluster, Xeon E5540/E5450, ATI Radeon HD 4870 2, Infiniband",NUDT,"71,680",0 GB,Xeon E5540 4C 2.53GHz,Infinband DDR 4x,563.1 TFlop/s,"1,206.19 TFlop/s","2,240,000",False,False,Linux,False,False,False,False,False
7,BlueGene/L - eServer Blue Gene Solution,IBM,"81,920",0 GB,PowerPC 440 2C 700MHz,Proprietary,183.923 TFlop/s,229.376 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,False,False
8,Intrepid - Blue Gene/P Solution,IBM,"163,840",0 GB,PowerPC 450 4C 850MHz,Proprietary,458.611 TFlop/s,557.056 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,"1,260.00 kW",False
9,"Red Sky - Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband",Sun,"42,440",0 GB,Xeon X5570 4C 2.93GHz,Infiniband,433.5 TFlop/s,497.396 TFlop/s,"2,504,421",False,False,CentOS,False,False,False,"4,343.73 kW",False
10,"Ranger - SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband",Sun,"62,976",0 GB,Opteron Quad Core 4C 2.3GHz,Infiniband,433.2 TFlop/s,579.379 TFlop/s,False,False,False,Linux,False,False,False,"2,000.00 kW",False
11,Dawn - Blue Gene/P Solution,IBM,"147,456",0 GB,PowerPC 450 4C 850MHz,Proprietary,415.7 TFlop/s,501.35 TFlop/s,"2,958,335",False,False,CNK/SLES 9,False,False,False,"1,134.00 kW",False
12,"Lomonosov - T-Platforms T-Blade2, Xeon 5570 2.93 GHz, Infiniband QDR",T-Platforms,"35,360",0 GB,Xeon X5570 4C 2.93GHz,Infiniband,350.1 TFlop/s,414.419 TFlop/s,"2,489,344",False,False,Linux,False,False,False,False,False
13,"JUROPA - Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation",Atos,"26,304",0 GB,Xeon X5570 4C 2.93GHz,Infiniband QDR Sun M9 / Mellanox / ParTec,274.8 TFlop/s,308.283 TFlop/s,False,False,False,SUSE Linux,False,False,False,"1,549.00 kW",False
14,"TachyonII - Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition",Sun,"26,232",0 GB,Xeon X5570 4C 2.93GHz,Infiniband,274.8 TFlop/s,307.439 TFlop/s,False,False,False,CentOS,False,False,False,"1,275.00 kW",False
15,HECToR - Cray XT6 12-Core 2.1 GHz,Cray/HPE,"43,660",0 GB,Opteron 6172 12C 2.1GHz,Custom Interconnect,274.7 TFlop/s,366.744 TFlop/s,"2,416,744",False,False,Linux,False,False,False,False,False
16,Franklin - Cray XT4 QuadCore 2.3 GHz,Cray/HPE,"38,642",0 GB,Opteron Quad Core 4C 2.3GHz,XT4 Internal Interconnect,266.3 TFlop/s,355.506 TFlop/s,"1,612,399",False,False,CNL,False,False,False,"1,150.00 kW",False
