,Name,Manufacturer:,Cores:,Memory:,Processor:,Interconnect:,Linpack Performance (Rmax),Theoretical Peak (Rpeak),Nmax,HPCG [TFlop/s],Power Measurement Level:,Operating System:,Compiler:,Math Library:,MPI:,Power:,Nhalf
0,"ASCI White, SP Power3 375 MHz",IBM,"8,192",0 GB,POWER3  375MHz,SP Switch,7.304 TFlop/s,12.288 TFlop/s,"640,000",False,False,AIX,False,False,False,False,False
1,"AlphaServer SC45, 1 GHz",HP,"3,024",0 GB,Alpha  1GHz,Quadrics,4.463 TFlop/s,6.048 TFlop/s,False,False,False,Tru64 UNIX,False,False,False,False,False
2,SP Power3 375 MHz 16 way,IBM,"3,328",0 GB,POWER3  375MHz,SP Switch,3.652 TFlop/s,4.992 TFlop/s,False,False,False,AIX,False,False,False,False,False
3,ASCI Red,Intel,"9,632",0 GB,Pentium Pro  333MHz,Proprietary,2.379 TFlop/s,3.207 TFlop/s,"362,880",False,False,Paragon OS,False,False,False,False,"75,400"
4,"ASCI Blue-Pacific SST, IBM SP 604e",IBM,"5,808",0 GB,PowerPC 604e  332MHz,SP Switch,2.144 TFlop/s,3.8565 TFlop/s,"431,344",False,False,AIX,False,False,False,False,False
5,"AlphaServer SC45, 1 GHz",HP,"1,536",0 GB,Alpha  1GHz,Quadrics,2.164 TFlop/s,3.072 TFlop/s,"320,000",False,False,Tru64 UNIX,False,False,False,False,"40,000"
6,SR8000/MPP,Hitachi,"1,152",0 GB,Hitachi SR8000  450MHz,Multi-dimensional crossbar,1.7091 TFlop/s,2.074 TFlop/s,"141,000",False,False,HI-UX/MPP,False,False,False,False,"16,000"
7,ASCI Blue Mountain,HPE,"6,144",0 GB,R10000  250MHz,HIPPI,1.608 TFlop/s,3.072 TFlop/s,"374,400",False,False,IRIX,False,False,False,False,"138,000"
8,SP Power3 375 MHz,IBM,"1,336",0 GB,POWER3  375MHz,SP Switch,1.417 TFlop/s,2.004 TFlop/s,"374,000",False,False,AIX,False,False,False,False,False
9,SP Power3 375 MHz 16 way,IBM,"1,280",0 GB,POWER3  375MHz,SP Switch,1.404 TFlop/s,1.92 TFlop/s,False,False,False,AIX,False,False,False,False,False
10,SP Power3 375 MHz 16 way,IBM,"1,260",0 GB,POWER3  375MHz,SP Switch,1.382 TFlop/s,1.89 TFlop/s,False,False,False,AIX,False,False,False,False,False
11,SX-5/128M8 3.2ns,NEC,128,0 GB,NEC  312MHz,Multi-stage crossbar,1.192 TFlop/s,1.28 TFlop/s,"129,536",False,False,Super-UX,False,False,False,False,"10,240"
12,SP Power3 375 MHz,IBM,"1,104",0 GB,POWER3  375MHz,SP Switch,1.179 TFlop/s,1.656 TFlop/s,False,False,False,AIX,False,False,False,False,False
